"filename", "language", "JSON", "Properties", "Markdown", "JavaScript", "TypeScript", "CSS", "HTML", "SCSS", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-products\manage-products.component.ts", "TypeScript", 0, 0, 0, 0, 222, 0, 0, 0, 0, 17, 57, 296
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\edit-profile\edit-profile.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\edit-profile\edit-profile.component.html", "HTML", 0, 0, 0, 0, 0, 0, 281, 0, 0, 18, 12, 311
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\edit-profile\edit-profile.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\edit-profile\edit-profile.component.ts", "TypeScript", 0, 0, 0, 0, 243, 0, 0, 0, 0, 20, 26, 289
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\my-orders\my-orders.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\my-orders\my-orders.component.html", "HTML", 0, 0, 0, 0, 0, 0, 104, 0, 0, 4, 2, 110
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\my-orders\my-orders.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\my-orders\my-orders.component.ts", "TypeScript", 0, 0, 0, 0, 82, 0, 0, 0, 0, 2, 18, 102
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\my-profile.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
